algorithm;environment;iteration;seed_count;reward_Mean;reward_StdDev;reward_max_mean;reward_max_Max;evaluation_reward_Mean;evaluation_reward_StdDev;duration_Mean;time_total_Mean;entropy_Mean;steps_trained_Mean;steps_sampled_Mean;reward_StdError;reward_upperErrorBound;reward_lowerErrorBound
DDPG;MountainCarContinuous-v0_unchanged;1;11;;;;;;;1,3483288938348943;1,3483288938348943;;0,0;1000,0;;;
DDPG;MountainCarContinuous-v0_unchanged;2;11;;;;;;;5,663242665204135;7,011571559039029;;25600,0;2000,0;;;
DDPG;MountainCarContinuous-v0_unchanged;3;11;;;;;;;10,26710143956271;17,27867299860174;;76800,0;3000,0;;;
DDPG;MountainCarContinuous-v0_unchanged;4;11;;;;;;;10,203879009593617;27,482552008195356;;128000,0;4000,0;;;
DDPG;MountainCarContinuous-v0_unchanged;5;11;-10,301962593496064;0,12055833964810274;-9,689823665966264;-8,959478684519388;-0,02972448488298719;0,04070552868614236;10,877327355471524;38,359879363666884;;179200,0;5000,0;0,03634970708736217;-10,265612886408702;-10,338312300583427
DDPG;MountainCarContinuous-v0_unchanged;6;11;-10,301962593496064;0,12055833964810274;-9,689823665966264;-8,959478684519388;;;10,382730960845947;48,74261032451283;;230400,0;6000,0;0,03634970708736217;-10,265612886408702;-10,338312300583427
DDPG;MountainCarContinuous-v0_unchanged;7;11;-10,301962593496064;0,12055833964810274;-9,689823665966264;-8,959478684519388;;;10,396319584413009;59,13892990892584;;281600,0;7000,0;0,03634970708736217;-10,265612886408702;-10,338312300583427
DDPG;MountainCarContinuous-v0_unchanged;8;11;-10,301962593496064;0,12055833964810274;-9,689823665966264;-8,959478684519388;;;10,442818728360264;69,5817486372861;;332800,0;8000,0;0,03634970708736217;-10,265612886408702;-10,338312300583427
DDPG;MountainCarContinuous-v0_unchanged;9;11;-10,301962593496064;0,12055833964810274;-9,689823665966264;-8,959478684519388;;;10,461047844453292;80,04279648173939;;384000,0;9000,0;0,03634970708736217;-10,265612886408702;-10,338312300583427
DDPG;MountainCarContinuous-v0_unchanged;10;11;-5,167203988478051;0,06241514109145483;-0,027349442072238116;-0,018626331951149697;-0,0036451103819353193;0,002990459412371648;10,997196327556264;91,03999280929565;;435200,0;10000,0;0,01881887311249537;-5,1483851153655555;-5,186022861590547
DDPG;MountainCarContinuous-v0_unchanged;11;11;-5,167203988478051;0,06241514109145483;-0,027349442072238116;-0,018626331951149697;;;10,412746126001531;101,45273893529719;;486400,0;11000,0;0,01881887311249537;-5,1483851153655555;-5,186022861590547
DDPG;MountainCarContinuous-v0_unchanged;12;11;-5,167203988478051;0,06241514109145483;-0,027349442072238116;-0,018626331951149697;;;10,395783012563532;111,84852194786072;;537600,0;12000,0;0,01881887311249537;-5,1483851153655555;-5,186022861590547
DDPG;MountainCarContinuous-v0_unchanged;13;11;-5,167203988478051;0,06241514109145483;-0,027349442072238116;-0,018626331951149697;;;10,441604310815984;122,29012625867671;;588800,0;13000,0;0,01881887311249537;-5,1483851153655555;-5,186022861590547
DDPG;MountainCarContinuous-v0_unchanged;14;11;-5,167203988478051;0,06241514109145483;-0,027349442072238116;-0,018626331951149697;;;10,38944632356817;132,67957258224487;;640000,0;14000,0;0,01881887311249537;-5,1483851153655555;-5,186022861590547
DDPG;MountainCarContinuous-v0_unchanged;15;11;-3,4468694061657956;0,041765337039740995;-0,005550108753928351;-0,000852991988577755;-0,01750882431225714;0,037813996336348424;11,13454812223261;143,8141207044775;;691200,0;15000,0;0,012592722927595782;-3,4342766832382;-3,4594621290933913
DDPG;MountainCarContinuous-v0_unchanged;16;11;-3,4468694061657956;0,041765337039740995;-0,005550108753928351;-0,000852991988577755;;;10,636194510893388;154,45031521537086;;742400,0;16000,0;0,012592722927595782;-3,4342766832382;-3,4594621290933913
DDPG;MountainCarContinuous-v0_unchanged;17;11;-3,4468694061657956;0,041765337039740995;-0,005550108753928351;-0,000852991988577755;;;10,476778463883834;164,9270936792547;;793600,0;17000,0;0,012592722927595782;-3,4342766832382;-3,4594621290933913
DDPG;MountainCarContinuous-v0_unchanged;18;11;-3,4468694061657956;0,041765337039740995;-0,005550108753928351;-0,000852991988577755;;;10,536834586750377;175,46392826600507;;844800,0;18000,0;0,012592722927595782;-3,4342766832382;-3,4594621290933913
DDPG;MountainCarContinuous-v0_unchanged;19;11;-3,4468694061657956;0,041765337039740995;-0,005550108753928351;-0,000852991988577755;;;10,608385822989725;186,0723140889948;;896000,0;19000,0;0,012592722927595782;-3,4342766832382;-3,4594621290933913
DDPG;MountainCarContinuous-v0_unchanged;20;11;-2,587625980990488;0,03144395632672005;-0,005025017357999157;-0,000852991988577755;-0,007517347557896789;0,005357078116014419;11,15226453000849;197,2245786190033;;947200,0;20000,0;0,00948070955091384;-2,578145271439574;-2,597106690541402
DDPG;MountainCarContinuous-v0_unchanged;21;11;-2,587625980990488;0,03144395632672005;-0,005025017357999157;-0,000852991988577755;;;10,462847883051092;207,6874265020544;;998400,0;21000,0;0,00948070955091384;-2,578145271439574;-2,597106690541402
DDPG;MountainCarContinuous-v0_unchanged;22;11;-2,587625980990488;0,03144395632672005;-0,005025017357999157;-0,000852991988577755;;;10,540543296120383;218,22796979817477;;1049600,0;22000,0;0,00948070955091384;-2,578145271439574;-2,597106690541402
DDPG;MountainCarContinuous-v0_unchanged;23;11;-2,587625980990488;0,03144395632672005;-0,005025017357999157;-0,000852991988577755;;;10,543362769213589;228,77133256738836;;1100800,0;23000,0;0,00948070955091384;-2,578145271439574;-2,597106690541402
DDPG;MountainCarContinuous-v0_unchanged;24;11;-2,587625980990488;0,03144395632672005;-0,005025017357999157;-0,000852991988577755;;;10,67071253603155;239,4420451034199;;1152000,0;24000,0;0,00948070955091384;-2,578145271439574;-2,597106690541402
DDPG;MountainCarContinuous-v0_unchanged;25;11;-2,0728443082211077;0,026029538649994417;-0,0046017294094135115;-0,000852991988577755;-0,010214487172310946;0,010732092083343159;11,259066581726074;250,70111168514597;;1203200,0;25000,0;0,007848201197098684;-2,064996107024009;-2,0806925094182063
DDPG;MountainCarContinuous-v0_unchanged;26;11;-2,0728443082211077;0,026029538649994417;-0,0046017294094135115;-0,000852991988577755;;;10,585222461006857;261,28633414615285;;1254400,0;26000,0;0,007848201197098684;-2,064996107024009;-2,0806925094182063
DDPG;MountainCarContinuous-v0_unchanged;27;11;-2,0728443082211077;0,026029538649994417;-0,0046017294094135115;-0,000852991988577755;;;10,593232198195023;271,8795663443479;;1305600,0;27000,0;0,007848201197098684;-2,064996107024009;-2,0806925094182063
DDPG;MountainCarContinuous-v0_unchanged;28;11;-2,0728443082211077;0,026029538649994417;-0,0046017294094135115;-0,000852991988577755;;;10,726042379032481;282,6056087233803;;1356800,0;28000,0;0,007848201197098684;-2,064996107024009;-2,0806925094182063
DDPG;MountainCarContinuous-v0_unchanged;29;11;-2,0728443082211077;0,026029538649994417;-0,0046017294094135115;-0,000852991988577755;;;10,64647143537348;293,2520801587538;;1408000,0;29000,0;0,007848201197098684;-2,064996107024009;-2,0806925094182063
DDPG;MountainCarContinuous-v0_unchanged;30;11;-1,729545168556971;0,022212374747443118;-0,00433932783131839;-0,000852991988577755;-0,010328358017845084;0,012559472130895762;11,274206118150191;304,52628627690405;;1459200,0;30000,0;0,006697282976366737;-1,7228478855806042;-1,7362424515333377
DDPG;MountainCarContinuous-v0_unchanged;31;11;-1,729545168556971;0,022212374747443118;-0,00433932783131839;-0,000852991988577755;;;10,705752957950939;315,23203923485494;;1510400,0;31000,0;0,006697282976366737;-1,7228478855806042;-1,7362424515333377
DDPG;MountainCarContinuous-v0_unchanged;32;11;-1,729545168556971;0,022212374747443118;-0,00433932783131839;-0,000852991988577755;;;10,746725819327615;325,9787650541826;;1561600,0;32000,0;0,006697282976366737;-1,7228478855806042;-1,7362424515333377
DDPG;MountainCarContinuous-v0_unchanged;33;11;-1,729545168556971;0,022212374747443118;-0,00433932783131839;-0,000852991988577755;;;10,924738927321;336,90350398150355;;1612800,0;33000,0;0,006697282976366737;-1,7228478855806042;-1,7362424515333377
DDPG;MountainCarContinuous-v0_unchanged;34;11;-1,729545168556971;0,022212374747443118;-0,00433932783131839;-0,000852991988577755;;;10,798139745538885;347,70164372704244;;1664000,0;34000,0;0,006697282976366737;-1,7228478855806042;-1,7362424515333377
DDPG;MountainCarContinuous-v0_unchanged;35;11;-1,4847264437485876;0,019674473342880014;-0,003955882607823468;-0,000852991988577755;-0,00918736176751209;0,008552198873431218;11,273226087743586;358,974869814786;;1715200,0;35000,0;0,0059320769114711205;-1,4787943668371166;-1,4906585206600587
DDPG;MountainCarContinuous-v0_unchanged;36;11;-1,4847264437485876;0,019674473342880014;-0,003955882607823468;-0,000852991988577755;;;10,704212340441616;369,67908215522766;;1766400,0;36000,0;0,0059320769114711205;-1,4787943668371166;-1,4906585206600587
DDPG;MountainCarContinuous-v0_unchanged;37;11;-1,4847264437485876;0,019674473342880014;-0,003955882607823468;-0,000852991988577755;;;10,800444971431386;380,47952712665904;;1817600,0;37000,0;0,0059320769114711205;-1,4787943668371166;-1,4906585206600587
